canonical_id,duration,event,sector,cost_original,planned_duration_months,sector_capped,log_cost
618401,5,0,Roads & Highways,1418.67,53.0,Roads & Highways,7.258179729221355
618402,4,1,POWER,1262.43,48.0,POWER,7.141585523631471
618403,7,0,POWER,275.5,35.0,POWER,5.6222108209623896
618404,5,0,Roads & Highways,625.61,47.0,Roads & Highways,6.440324337535335
618405,7,0,POWER,898.19,42.0,POWER,6.801494358081147
618406,2,1,POWER,253.44,40.0,POWER,5.539065051810604
618407,4,1,POWER,245.34,30.0,POWER,5.506712695513338
618408,2,1,"ROAD
TRANSPORT
AND
HIGHWAYS",398.37,22.0,Other,5.989888305491614
618409,2,1,"ROAD
TRANSPORT
AND
HIGHWAYS",381.01,29.0,Other,5.945446786274408
618410,2,1,"ROAD
TRANSPORT
AND
HIGHWAYS",404.89,22.0,Other,6.006082186931363
618411,2,1,PETROLEUM,195.95,18.0,PETROLEUM,5.282949889416915
618412,2,1,POWER,6808.69,73.0,POWER,8.826101876815216
618413,2,1,RAILWAYS,177.77,52.0,RAILWAYS,5.186100063426998
618414,8,0,RAILWAYS,258.52,20.0,RAILWAYS,5.558833770927048
618415,2,1,RAILWAYS,188.36,22.0,RAILWAYS,5.243649965205728
618416,2,1,RAILWAYS,226.32,22.0,RAILWAYS,5.426358716428921
618417,7,0,Roads & Highways,2026.05,48.0,Roads & Highways,7.614336813143335
618418,2,1,"DEPARTMENT
OF HIGHER
EDUCATION",359.86,32.0,"DEPARTMENT
OF HIGHER
EDUCATION",5.8884900714801525
618419,6,0,"DEPARTMENT
OF HIGHER
EDUCATION",562.48,42.0,"DEPARTMENT
OF HIGHER
EDUCATION",6.334131840392106
618420,6,0,"DEPARTMENT
OF HIGHER
EDUCATION",686.0,42.0,"DEPARTMENT
OF HIGHER
EDUCATION",6.532334292222349
618421,6,0,"DEPARTMENT
OF HIGHER
EDUCATION",620.3,42.0,"DEPARTMENT
OF HIGHER
EDUCATION",6.431814057069648
618422,2,1,RAILWAYS,161.73,29.0,RAILWAYS,5.092092385672523
618423,2,1,RAILWAYS,215.79,45.0,RAILWAYS,5.378929143040425
618424,2,0,Roads & Highways,256.66,76.0,Roads & Highways,5.551640886363379
618426,2,1,Roads & Highways,264.84,76.0,Roads & Highways,5.582894624046339
618427,2,1,RAILWAYS,311.0,32.0,RAILWAYS,5.7430031878094825
618428,2,1,Roads & Highways,264.84,27.0,Roads & Highways,5.582894624046339
618429,2,1,RAILWAYS,345.38,33.0,RAILWAYS,5.847536438300897
618430,2,1,RAILWAYS,402.94,37.0,RAILWAYS,6.0012663520802425
618431,2,1,RAILWAYS,295.97,32.0,RAILWAYS,5.693631123599825
618432,2,1,POWER,228.71,20.0,POWER,5.436817643793142
618433,2,1,POWER,184.88,20.0,POWER,5.2251013042167775
618434,2,1,POWER,1718.59,60.0,POWER,7.449841169299332
