canonical_id,duration,event,sector,cost_original,planned_duration_months,sector_capped,log_cost
615336,2.0,0,Transmission & Distribution,284.0,27.0,Other,5.652489180268651
615337,5.0,1,COAL,369.0,18.0,COAL,5.91350300563827
615338,5.0,1,COAL,2735.0,24.0,COAL,7.914252278742441
615339,3.0,1,COAL,5969.0,24.0,COAL,8.694502206386648
615340,3.0,1,COAL,5357.0,24.0,COAL,8.586346050104554
615342,9.0,1,COAL,329.0,21.0,COAL,5.799092654460526
615343,12.0,0,COAL,501.0,24.0,COAL,6.218600119691729
615344,3.0,1,POWER,3674.0,24.0,POWER,8.209308411646937
615345,3.0,1,COAL,4766.0,24.0,COAL,8.469472455204826
615346,3.0,1,POWER,2708.0,24.0,POWER,7.904334842085095
615347,12.0,0,COAL,24819.0,54.0,COAL,10.119405058758598
615349,12.0,0,POWER,230.41,88.0,POWER,5.44419102903758
615818,1.0,1,COAL,297.88,39.0,COAL,5.700042155040478
615820,1.0,1,COAL,159.77,100.0,COAL,5.079974772174869
615821,1.0,1,COAL,289.46,60.0,COAL,5.671465873179658
615822,12.0,0,POWER,222.82,94.0,POWER,5.410842157389881
615843,1.0,1,POWER,243.52,40.0,POWER,5.499297105160525
615857,1.0,1,RAILWAYS,494.3,48.0,RAILWAYS,6.2051636395941925
615858,1.0,1,COAL,384.32,48.0,COAL,5.954074157889423
615859,4.0,0,Coal,413.84,106.0,Other,6.027892903721534
615860,1.0,1,COAL,438.98,44.0,COAL,6.0867292713337635
615861,1.0,1,COAL,349.28,43.0,COAL,5.858732834654024
615862,12.0,0,COAL,345.6,56.0,COAL,5.848171377281505
615863,1.0,1,COAL,484.51,29.0,COAL,6.185199884841606
615864,4.0,0,Coal,489.62,129.0,Other,6.195669897401941
615865,1.0,1,COAL,442.42,31.0,COAL,6.0945174021640645
615914,1.0,1,CIVIL AVIATION,184.71,84.0,CIVIL AVIATION,5.224186317204961
615915,1.0,1,Railways,244.99,42.0,Other,5.505290884699608
615916,12.0,0,CIVIL AVIATION,1225.21,72.0,CIVIL AVIATION,7.111683390571797
